item_no,text,family,lane,argument,cluster_id,cluster_name,originator,originator_work,originator_year,real_source_cited,verdict
393,Seismology Earth-fixed.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
394,Volcano infrasound triangulation.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
395,Mining surveys flat.,B,B,ARG-B06,B06,Surveyors assume a plane and make no 'allowance',Samuel Rowbotham,Earth Not a Globe,1865,Encyclopaedia Britannica article 'Levelling',SELF-CONTRADICTED
396,Architecture plumb/level universal.,B,B,ARG-B09,B09,Plumb lines are perpendicular everywhere,Samuel Rowbotham,Earth Not a Globe,1865,,REFUTED
397,Skyscraper vertical stable.,B,B,ARG-B09,B09,Plumb lines are perpendicular everywhere,Samuel Rowbotham,Earth Not a Globe,1865,,REFUTED
398,Pendulum clocks stable.,A,A-EXP,ARG-A15,A15,"Gravimeters, pendulum clocks and torsion balances register nothing of the Earth's motion",,,,,NOT DEMONSTRATED
399,GNSS pseudorange Earth clocks.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
400,Bathymetry sonar straight.,B,B,ARG-B11,B11,"Radar, photogrammetry, SAR and sonar assume a plane",,,,,MISLEADING
401,Ship optical range.,B,B,ARG-B04,B04,"Long-range visibility of ships, lighthouses and towers",Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. II",1881,,MISLEADING
402,Harbor mirage charts.,B,B,ARG-B13,B13,Mirage and optical ducting explain far sightings,,,,,SELF-CONTRADICTED
403,Tunnel breakthroughs align.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
404,Power line sag flat.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
405,Microwave Fresnel zone flat.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
406,Aerial refueling flat line.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
407,Artillery geocentric mils.,A,A-EXP,ARG-A14,A14,Ballistics and artillery ignore Earth's rotation,Samuel Rowbotham,Earth Not a Globe,1865,Standard long-range fire-control tables,REFUTED
408,Polar navigation star dome.,B,B,ARG-B12,B12,Polar navigation and dead reckoning imply a dome/disc,Charles K. Johnson,Flat Earth News,1972,,REFUTED
409,Dead reckoning dome compass.,B,B,ARG-B12,B12,Polar navigation and dead reckoning imply a dome/disc,Charles K. Johnson,Flat Earth News,1972,,REFUTED
410,Psalm 75:3 pillars of Earth.,C,C,ARG-C03,C03,Proof-texts on foundations and pillars,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
411,Job 9:6 shaken Earth.,C,C,ARG-C03,C03,Proof-texts on foundations and pillars,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
412,Job 26:7 hangs on nothing.,C,C,ARG-C10,C10,Job 26:7 — 'he hangs the earth on nothing',,,,,SELF-CONTRADICTED
413,Proverbs 8:27 compass on face.,C,C,ARG-C05,C05,"Circle, four corners and ends of the Earth",Rob Skiba,biblical-cosmology teaching,2015,,SELF-CONTRADICTED
414,Isaiah 40:22 circle of Earth.,C,C,ARG-C05,C05,"Circle, four corners and ends of the Earth",Rob Skiba,biblical-cosmology teaching,2015,,SELF-CONTRADICTED
415,1 Sam 2:8 pillars set world.,C,C,ARG-C03,C03,Proof-texts on foundations and pillars,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
416,Psalm 61:2 ends of Earth.,C,C,ARG-C05,C05,"Circle, four corners and ends of the Earth",Rob Skiba,biblical-cosmology teaching,2015,,SELF-CONTRADICTED
417,Psalm 19 line through Earth.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
418,Eccles 1:6 wind circuits.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
419,Matthew 5:35 Earth footstool.,C,C,ARG-C06,C06,Anthropocentric creation / Earth as footstool,Wilbur Glenn Voliva,Zion sermons,1915,,UNFALSIFIABLE
420,Revelation 7:1 four corners.,C,C,ARG-C05,C05,"Circle, four corners and ends of the Earth",Rob Skiba,biblical-cosmology teaching,2015,,SELF-CONTRADICTED
421,Revelation 20:8 four quarters.,C,C,ARG-C05,C05,"Circle, four corners and ends of the Earth",Rob Skiba,biblical-cosmology teaching,2015,,SELF-CONTRADICTED
422,Joshua 10 moving sun.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
423,Habakkuk 3 stationary heavens.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
424,Tobit 13 dome heaven.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
425,1 Enoch concentric heavens.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
426,Jubilees lights for Earth.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
427,Church Fathers affirm rest.,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
428,Scholastics harmonize Aristotle.,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
429,Liturgy calendar solar.,C,C,ARG-C08,C08,"Liturgy, calendar and eastward orientation as cosmology",,,,,NOT DEMONSTRATED
430,Temple as cosmos model.,D,D,ARG-D08,D08,"Temple, cathedral and Dendera-zodiac architecture as cosmology",Manly P. Hall,The Secret Teachings of All Ages,1928,"Dendera zodiac, Louvre E 13482, dated c. 50 BCE",SELF-CONTRADICTED
431,Sacred east orientation.,C,C,ARG-C08,C08,"Liturgy, calendar and eastward orientation as cosmology",,,,,NOT DEMONSTRATED
432,Iconography concentric Christ.,C,C,ARG-C09,C09,Church art and iconography as cosmology,,,,,UNFALSIFIABLE
433,Cathedral maps Earth center.,C,C,ARG-C09,C09,Church art and iconography as cosmology,,,,,UNFALSIFIABLE
434,Creation focused on man.,C,C,ARG-C06,C06,Anthropocentric creation / Earth as footstool,Wilbur Glenn Voliva,Zion sermons,1915,,UNFALSIFIABLE
435,Psalm 19 heavens declare glory.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
436,Christ as “Sun of righteousness” circling mankind.,C,C,ARG-C09,C09,Church art and iconography as cosmology,,,,,UNFALSIFIABLE
437,Stars falling toward Earth imagery in Apocalypse.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
438,Four winds from Earth's corners.,C,C,ARG-C05,C05,"Circle, four corners and ends of the Earth",Rob Skiba,biblical-cosmology teaching,2015,,SELF-CONTRADICTED
439,Psalm 104 firmament supporting lights.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
440,Temple architecture mirroring revolving heavens.,D,D,ARG-D08,D08,"Temple, cathedral and Dendera-zodiac architecture as cosmology",Manly P. Hall,The Secret Teachings of All Ages,1928,"Dendera zodiac, Louvre E 13482, dated c. 50 BCE",SELF-CONTRADICTED
441,Processional worship keyed to sun/moon over Earth.,C,C,ARG-C08,C08,"Liturgy, calendar and eastward orientation as cosmology",,,,,NOT DEMONSTRATED
442,Sacred calendars anchored to Earth-based observations.,C,C,ARG-C08,C08,"Liturgy, calendar and eastward orientation as cosmology",,,,,NOT DEMONSTRATED
443,Early catechisms reflecting immovable Earth language.,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
444,Medieval sermons describing concentric heavens.,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
445,Patristic commentaries on the sun's “course.”,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
446,Liturgical eastward orientation assumes sun's path.,C,C,ARG-C08,C08,"Liturgy, calendar and eastward orientation as cosmology",,,,,NOT DEMONSTRATED
447,Monastic timekeeping by geocentric sky cycles.,C,C,ARG-C08,C08,"Liturgy, calendar and eastward orientation as cosmology",,,,,NOT DEMONSTRATED
448,Church art: mandorla over Earth-centered cosmos.,C,C,ARG-C09,C09,Church art and iconography as cosmology,,,,,UNFALSIFIABLE
449,"Biblical metaphors of “pillars,” “foundations,” “footstool.”",C,C,ARG-C03,C03,Proof-texts on foundations and pillars,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
450,Prophetic visions framed from an Earth-fixed vantage.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
451,"Axis mundi symbols (world tree, mountain) worldwide.",D,D,ARG-D04,D04,Axis mundi / world tree / omphalos symbolism,,,,"Eliade 1949; Guénon, Le Roi du Monde 1927",UNFALSIFIABLE
452,Djed pillar / Jachin & Boaz under starry vaults.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
453,Omphalos stones marking the world's navel/center.,D,D,ARG-D04,D04,Axis mundi / world tree / omphalos symbolism,,,,"Eliade 1949; Guénon, Le Roi du Monde 1927",UNFALSIFIABLE
454,Jerusalem/Delphi as “navel of the world” motifs.,D,D,ARG-D04,D04,Axis mundi / world tree / omphalos symbolism,,,,"Eliade 1949; Guénon, Le Roi du Monde 1927",UNFALSIFIABLE
455,"Mandalas with still center, rotating periphery.",D,D,ARG-D05,D05,Mandala / still-centre symbolism,,,,"Mircea Eliade, Patterns in Comparative Religion (1949) - reported, not asserted",UNFALSIFIABLE
456,Dendera zodiac as dome above Earth.,D,D,ARG-D08,D08,"Temple, cathedral and Dendera-zodiac architecture as cosmology",Manly P. Hall,The Secret Teachings of All Ages,1928,"Dendera zodiac, Louvre E 13482, dated c. 50 BCE",SELF-CONTRADICTED
457,Mithraic iconography mapping stellar rotation.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
458,Rosicrucian temple diagrams: cosmos around sanctum.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
459,Masonic tracing boards beneath starry canopy.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
460,"Hermetic altar at the world center (“as above, so below”).",D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
461,Alchemy: Earth as [truncated in source],D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
